"table","long_name","units","comment","questions_and_notes","output_variable_name","standard_name","unconfirmed_or_proposed_standard_name","unformatted_units","cell_methods","valid_min","valid_max","mean_absolute_min","mean_absolute_max","positive","type","CMOR_dimensions","CMOR_variable_name","realm","frequency","cell_measures","flag_values","flag_meanings"
"Oclim","Ocean Kinetic Energy Dissipation Per Unit Area due to Vertical Friction","W m-2",,,"dispkevfo","ocean_kinetic_energy_dissipation_per_unit_area_due_to_vertical_friction",,"W m-2","time: mean within years time: mean over years",,,,,,"real","longitude latitude olevel time2","dispkevfo","ocean",,"area: areacello volume: volcello",,
"Oclim","Ocean Tracer Bolus Laplacian Diffusivity","m2 s-1",,"3-d time dependent field","diftrblo","ocean_tracer_bolus_laplacian_diffusivity",,"m2 s-1","time: mean within years time: mean over years",,,,,,"real","longitude latitude olevel time2","diftrblo","ocean",,"area: areacello volume: volcello",,
"Oclim","Ocean Tracer Bolus Biharmonic Diffusivity","m4 s-1",,"3-d time dependent field","diftrbbo","ocean_tracer_bolus_biharmonic_diffusivity",,"m4 s-1","time: mean within years time: mean over years",,,,,,"real","longitude latitude olevel time2","diftrbbo","ocean",,"area: areacello volume: volcello",,
"Oclim","Ocean Tracer Epineutral Laplacian Diffusivity","m2 s-1",,"3-d time dependent field","diftrelo","ocean_tracer_epineutral_laplacian_diffusivity",,"m2 s-1","time: mean within years time: mean over years",,,,,,"real","longitude latitude olevel time2","diftrelo","ocean",,"area: areacello volume: volcello",,
"Oclim","Ocean Tracer Epineutral Biharmonic Diffusivity","m4 s-1",,"3-d time dependent field","diftrebo","ocean_tracer_epineutral_biharmonic_diffusivity",,"m4 s-1","time: mean within years time: mean over years",,,,,,"real","longitude latitude olevel time2","diftrebo","ocean",,"area: areacello volume: volcello",,
"Oclim","Ocean Tracer XY Laplacian Diffusivity","m2 s-1",,"3-d time dependent field","diftrxylo","ocean_tracer_xy_laplacian_diffusivity",,"m2 s-1","time: mean within years time: mean over years",,,,,,"real","longitude latitude olevel time2","diftrxylo","ocean",,"area: areacello volume: volcello",,
"Oclim","Ocean Tracer XY Biharmonic Diffusivity","m4 s-1",,"3-d time dependent field","diftrxybo","ocean_tracer_xy_biharmonic_diffusivity",,"m4 s-1","time: mean within years time: mean over years",,,,,,"real","longitude latitude olevel time2","diftrxybo","ocean",,"area: areacello volume: volcello",,
"Oclim","Tendency of Ocean Eddy Kinetic Energy Content due to Bolus Transport","W m-2",,"3-d time dependent field","tnkebto","tendency_of_ocean_eddy_kinetic_energy_content_due_to_bolus_transport",,"W m-2","time: mean within years time: mean over years",,,,,,"real","longitude latitude olevel time2","tnkebto","ocean",,"area: areacello volume: volcello",,
"Oclim","Ocean Momentum XY Laplacian Diffusivity","m2 s-1",,"3-d time dependent field","difmxylo","ocean_momentum_xy_laplacian_diffusivity",,"m2 s-1","time: mean within years time: mean over years",,,,,,"real","longitude latitude olevel time2","difmxylo","ocean",,"area: areacello volume: volcello",,
"Oclim","Ocean Momentum XY Biharmonic Diffusivity","m4 s-1",,"3-d time dependent field","difmxybo","ocean_momentum_xy_biharmonic_diffusivity",,"m4 s-1","time: mean within years time: mean over years",,,,,,"real","longitude latitude olevel time2","difmxybo","ocean",,"area: areacello volume: volcello",,
"Oclim","Ocean Kinetic Energy Dissipation Per Unit Area due to XY Friction","W m-2",,"3-d time dependent field","dispkexyfo","ocean_kinetic_energy_dissipation_per_unit_area_due_to_xy_friction",,"W m-2","time: mean within years time: mean over years",,,,,,"real","longitude latitude olevel time2","dispkexyfo","ocean",,"area: areacello volume: volcello",,
"Oclim","Ocean Tracer Bolus Laplacian Diffusivity","m2 s-1",,"2-d time dependent field","diftrblo","ocean_tracer_bolus_laplacian_diffusivity",,"m2 s-1","time: mean within years time: mean over years",,,,,,"real","longitude latitude time2","diftrblo2d","ocean",,"area: areacello",,
"Oclim","Ocean Tracer Bolus Biharmonic Diffusivity","m4 s-1",,"2-d time dependent field","diftrbbo","ocean_tracer_bolus_biharmonic_diffusivity",,"m4 s-1","time: mean within years time: mean over years",,,,,,"real","longitude latitude time2","diftrbbo2d","ocean",,"area: areacello",,
"Oclim","Ocean Tracer Epineutral Laplacian Diffusivity","m2 s-1",,"2-d time dependent field","diftrelo","ocean_tracer_epineutral_laplacian_diffusivity",,"m2 s-1","time: mean within years time: mean over years",,,,,,"real","longitude latitude time2","diftrelo2d","ocean",,"area: areacello",,
"Oclim","Ocean Tracer Epineutral Biharmonic Diffusivity","m4 s-1",,"2-d time dependent field","diftrebo","ocean_tracer_epineutral_biharmonic_diffusivity",,"m4 s-1","time: mean within years time: mean over years",,,,,,"real","longitude latitude time2","diftrebo2d","ocean",,"area: areacello",,
"Oclim","Ocean Tracer XY Laplacian Diffusivity","m2 s-1",,"2-d time dependent field","diftrxylo","ocean_tracer_xy_laplacian_diffusivity",,"m2 s-1","time: mean within years time: mean over years",,,,,,"real","longitude latitude time2","diftrxylo2d","ocean",,"area: areacello",,
"Oclim","Ocean Tracer XY Biharmonic Diffusivity","m4 s-1",,"2-d time dependent field","diftrxybo","ocean_tracer_xy_biharmonic_diffusivity",,"m4 s-1","time: mean within years time: mean over years",,,,,,"real","longitude latitude time2","diftrxybo2d","ocean",,"area: areacello",,
"Oclim","Tendency of Ocean Eddy Kinetic Energy Content due to Bolus Transport","W m-2",,"2-d time dependent field","tnkebto","tendency_of_ocean_eddy_kinetic_energy_content_due_to_bolus_transport",,"W m-2","time: mean within years time: mean over years",,,,,,"real","longitude latitude time2","tnkebto2d","ocean",,"area: areacello",,
"Oclim","Ocean Momentum XY Laplacian Diffusivity","m2 s-1",,"2-d time dependent field","difmxylo","ocean_momentum_xy_laplacian_diffusivity",,"m2 s-1","time: mean within years time: mean over years",,,,,,"real","longitude latitude time2","difmxylo2d","ocean",,"area: areacello",,
"Oclim","Ocean Momentum XY Biharmonic Diffusivity","m4 s-1",,"2-d time dependent field","difmxybo","ocean_momentum_xy_biharmonic_diffusivity",,"m4 s-1","time: mean within years time: mean over years",,,,,,"real","longitude latitude time2","difmxybo2d","ocean",,"area: areacello",,
"Oclim","Ocean Kinetic Energy Dissipation Per Unit Area due to XY Friction","W m-2",,"2-d time dependent field","dispkexyfo","ocean_kinetic_energy_dissipation_per_unit_area_due_to_xy_friction",,"W m-2","time: mean within years time: mean over years",,,,,,"real","longitude latitude time2","dispkexyfo2d","ocean",,"area: areacello",,
"Oclim","Depth Below Geoid of Ocean Layer","m",,"This 3-d time dependent field should only be saved for models where it can't be calculated from the vertical coordinate information stored in the file.","zfull","depth_below_geoid",,"m","time: mean within years time: mean over years",,,,,,"real","longitude latitude olevel time2","zfull","ocean",,"area: areacello",,
"Oclim","Depth Below Geoid of Interfaces Between Ocean Layers","m",,"This 3-d time dependent field should only be saved for models where it can't be calculated from the vertical coordinate information stored in the file.","zhalf","depth_below_geoid",,"m","time: mean within years time: mean over years",,,,,,"real","longitude latitude olevel time2","zhalf","ocean",,"area: areacello",,
"Oyr","Dissolved Inorganic Carbon Concentration","mol m-3","Dissolved inorganic carbon (CO3+HCO3+H2CO3) concentration",,"dissic","mole_concentration_of_dissolved_inorganic_carbon_in_sea_water",,"mol m-3","time: mean area: mean where sea",,,,,,"real","longitude latitude olevel time","dissic","ocnBgchem",,"area: areacello volume: volcello",,
"Oyr","Dissolved Organic Carbon Concentration","mol m-3",,,"dissoc","mole_concentration_of_dissolved_organic_carbon_in_sea_water",,"mol m-3","time: mean area: mean where sea",,,,,,"real","longitude latitude olevel time","dissoc","ocnBgchem",,"area: areacello volume: volcello",,
"Oyr","Phytoplankton Carbon Concentration","mol m-3","sum of phytoplankton carbon component concentrations.  In most (all?) cases this is the sum of phycdiat and phycmisc (i.e., ""Diatom Carbon Concentration"" and ""Non-Diatom Phytoplankton Carbon Concentration""",,"phyc","mole_concentration_of_phytoplankton_expressed_as_carbon_in_sea_water",,"mol m-3","time: mean area: mean where sea",,,,,,"real","longitude latitude olevel time","phyc","ocnBgchem",,"area: areacello volume: volcello",,
"Oyr","Zooplankton Carbon Concentration","mol m-3","sum of zooplankton carbon component concentrations",,"zooc","mole_concentration_of_zooplankton_expressed_as_carbon_in_sea_water",,"mol m-3","time: mean area: mean where sea",,,,,,"real","longitude latitude olevel time","zooc","ocnBgchem",,"area: areacello volume: volcello",,
"Oyr","Bacterial Carbon Concentration","mol m-3","sum of bacterial carbon component concentrations",,"bacc","mole_concentration_of_bacteria_expressed_as_carbon_in_sea_water",,"mol m-3","time: mean area: mean where sea",,,,,,"real","longitude latitude olevel time","bacc","ocnBgchem",,"area: areacello volume: volcello",,
"Oyr","Detrital Organic Carbon Concentration","mol m-3","sum of detrital organic carbon component concentrations",,"detoc","mole_concentration_of_organic_detritus_expressed_as_carbon_in_sea_water",,"mol m-3","time: mean area: mean where sea",,,,,,"real","longitude latitude olevel time","detoc","ocnBgchem",,"area: areacello volume: volcello",,
"Oyr","Calcite Concentration","mol m-3","sum of particulate calcite component concentrations (e.g. Phytoplankton, Detrital, etc.)",,"calc","mole_concentration_of_calcite_expressed_as_carbon_in_sea_water",,"mol m-3","time: mean area: mean where sea",,,,,,"real","longitude latitude olevel time","calc","ocnBgchem",,"area: areacello volume: volcello",,
"Oyr","Aragonite Concentration","mol m-3","sum of particulate aragonite components (e.g. Phytoplankton, Detrital, etc.)",,"arag","mole_concentration_of_aragonite_expressed_as_carbon_in_sea_water",,"mol m-3","time: mean area: mean where sea",,,,,,"real","longitude latitude olevel time","arag","ocnBgchem",,"area: areacello volume: volcello",,
"Oyr","Mole Concentration of Diatoms expressed as Carbon in Sea Water","mol m-3","carbon from the diatom phytoplankton component concentration alone",,"phydiat","mole_concentration_of_diatoms_expressed_as_carbon_in_sea_water",,"mol m-3","time: mean area: mean where sea",,,,,,"real","longitude latitude olevel time","phydiat","ocnBgchem",,"area: areacello volume: volcello",,
"Oyr","Mole Concentration of Diazotrophs Expressed as Carbon in Sea Water","mol m-3","carbon concentration from the diazotrophic phytoplankton component alone",,"phydiaz","mole_concentration_of_diazotrophs_expressed_as_carbon_in_sea_water",,"mol m-3","time: mean area: mean where sea",,,,,,"real","longitude latitude olevel time","phydiaz","ocnBgchem",,"area: areacello volume: volcello",,
"Oyr","Mole Concentration of Calcareous Phytoplankton expressed as Carbon in Sea Water","mol m-3","carbon concentration from calcareous (calcite-producing) phytoplankton component alone",,"phycalc","mole_concentration_of_calcareous_phytoplankton_expressed_as_carbon_in_sea_water",,"mol m-3","time: mean area: mean where sea",,,,,,"real","longitude latitude olevel time","phycalc","ocnBgchem",,"area: areacello volume: volcello",,
"Oyr","Mole Concentration of Picophytoplankton expressed as Carbon in Sea Water","mol m-3","carbon concentration from the picophytoplankton (<2 um) component alone",,"phypico","mole_concentration_of_picophytoplankton_expressed_as_carbon_in_sea_water",,"mol m-3","time: mean area: mean where sea",,,,,,"real","longitude latitude olevel time","phypico","ocnBgchem",,"area: areacello volume: volcello",,
"Oyr","Mole Concentration of Miscellaneous Phytoplankton expressed as Carbon in Sea Water","mol m-3","carbon concentration from additional phytoplankton component alone",,"phymisc","mole_concentration_of_miscellaneous_phytoplankton_expressed_as_carbon_in_sea_water",,"mol m-3","time: mean area: mean where sea",,,,,,"real","longitude latitude olevel time","phymisc","ocnBgchem",,"area: areacello volume: volcello",,
